Nivel,Entidad,Tipo,Programa,Subprograma,Proyecto,Objeto,Pais,Departamento,Fuente,Organismo,VerJustifica,VerProgramado,Fila,Anho,version
12,1,1,1,0,0,111,1,99,10,1,,18411843300,181,2016,6
12,1,1,1,0,0,113,1,99,10,1,,682914840,182,2016,6
12,1,1,1,0,0,114,1,99,10,1,,1591229845,678,2016,6
12,1,1,1,0,0,123,1,99,30,1,"REM. EXTRAORDINARIA PARA FUNCIONARIOS DE LA GACETA OFICIAL",20000000,528,2016,6
12,1,1,1,0,0,123,1,99,10,1,"REMUNERACION EXTRAORDINARIA PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",850486196,347,2016,6
12,1,1,1,0,0,125,1,99,30,1,"REMUNERACION ADICIONAL PARA FUNCIONARIOS DE LA GACETA OFICIAL",16000000,529,2016,6
12,1,1,1,0,0,125,1,99,10,1,"REMUNERACION ADICIONAL PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",130000000,348,2016,6
12,1,1,1,0,0,131,1,99,10,1,"SUBSIDIO FAMILIAR PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",1011360000,800,2016,6
12,1,1,1,0,0,133,1,99,10,1,"BONIFICACIONES Y GRATIFICACIONES PARA FUNCIONARIOS DE LA PRESIDENCIA DE LA REPUBLICA",4795655018,801,2016,6
12,1,1,1,0,0,133,1,99,30,1,"BONIFICACIONES Y GRATIFICACIONES PARA FUNCIONARIOS DE LA GACETA OFICIAL",206000000,583,2016,6
12,1,1,1,0,0,137,1,99,10,1,"GRATIFICACIONES POR SERVICIOS ESPECIALES PARA EL PERSONAL DE SEGURIDAD DE LA PRESIDENCIA DE LA REPUBLICA",130000000,802,2016,6
12,1,1,1,0,0,141,1,99,10,1,"COTRATACION DE PERSONAL TECNICO",424000000,878,2016,6
12,1,1,1,0,0,144,1,99,30,1,"JORNALES PARA FUNCIONARIOS DE LA GACETA OFICIAL",58000000,585,2016,6
12,1,1,1,0,0,144,1,99,10,1,"JORNALES PARA EL PERSONAL CONTRATADO DE LA PRESIDENCIA DE LA REPUBLICA",3296772000,866,2016,6
